Артикул,Название (RU),Цена,Описание товара (RU)
244821001,Страховочный жилет женский Nylon Vest Women Vintage Teal,1 736 грн,"Nylon Vest Women Vintage Teal — Женский нейлоновый страховочный жилет сертифицирован по уровню плавучести ISO 50 N. Иготовлен из долговечной, прочной и легкой нейлоновой ткани. Надежные пряжки и молнии YKK . D-образное кольцо для прикрепления страховочного шнура. Система отвода воды."
244820005,Страховочный жилет унисекс 4 Buckle Vest Red,1 876 грн,"4 Buckle Vest Red — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера."
244820006,Страховочный жилет унисекс 4 Buckle Vest Hot Pink,1 876 грн,"4 Buckle Vest  Pink — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера."
244820007,Страховочный жилет унисекс 4 Buckle Vest Blue,1 876 грн,"4 Buckle Vest Blue — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера."
244820008,Страховочный жилет унисекс 4 Buckle Vest Black,1 876 грн,"4 Buckle Vest Black — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера."
244921009,Страховочный жилет детский Neoprene Vest Youth Black,2 268 грн,"Neoprene Vest Youth Black — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера. D-образное кольцо для подсоединения к страховочному шнуру."
244921010,Страховочный жилет детский Neoprene Vest Youth Hot Pink,2 268 грн,"Neoprene Vest Youth Hot Pink — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера. D-образное кольцо для подсоединения к страховочному шнуру. Специальную систему Jobe для удаления воды, обеспечивающую быстрый слив воды при необходимости."
244921011,Страховочный жилет детский Neoprene Vest Youth Lime Green,2 268 грн,"Neoprene Vest Youth Lime Green — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера. D-образное кольцо для подсоединения к страховочному шнуру. Специальную систему Jobe для удаления воды, обеспечивающую быстрый слив воды при необходимости."
244921012,Страховочный жилет детский Neoprene Vest Youth Blue,2 268 грн,"Neoprene Vest Youth Blue — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера. D-образное кольцо для подсоединения к страховочному шнуру. Специальную систему Jobe для удаления воды, обеспечивающую быстрый слив воды при необходимости."
244921013,Страховочный жилет детский Neoprene Vest Youth Red,2 268 грн,"Neoprene Vest Youth Red — страховочный жилет с четырьмя пряжками.  Унисекс. Уровень плавучести 50N. Изготовлен из прочного нейлона, со вставками-панелями из вспененного ПВХ спереди и EPE-панелей (вспененный полиэтилен) сзади, что обеспечивает комфорт и дополнительную защиту райдера. D-образное кольцо для подсоединения к страховочному шнуру. Специальную систему Jobe для удаления воды, обеспечивающую быстрый слив воды при необходимости."
244919220,Страховочный  жилет женский Neoprene Vest Women Cool Grey,2 576 грн,empty
244920015,Страховочный жилет женский Neoprene Vest Women Cool Grey,2 576 грн,"Neoprene Vest Women Cool Grey — неопреновый женский страховочный жилет. Оснащен дренажной системой осушения. Неопрен – легкий, гибкий, пластичный и прочный материал. Он отлично сохраняет тепло, водонепроницаем, устойчив к перепадам температур. Неопрен стоек к механическим и химическим повреждениям, долговечен, устойчив к образованию грибков и бактерий. Экологичен и безопасен для кожи. Уровень постоянной плавучести 50 Н."
